Start Time, End Time, Color, Eclipse
2012-11-03T11:51:59.000000000, 2012-11-03T12:29:51.000000000,0xFF0000, ECLIPSE
2012-11-03T20:50:48.000000000, 2012-11-03T21:28:40.000000000,0xFF0000, ECLIPSE
2012-11-04T05:49:37.000000000, 2012-11-04T06:27:29.000000000,0xFF0000, ECLIPSE
2012-11-04T14:48:26.000000000, 2012-11-04T15:26:17.000000000,0xFF0000, ECLIPSE
2012-11-04T23:47:15.000000000, 2012-11-05T00:25:05.000000000,0xFF0000, ECLIPSE
2012-11-05T08:46:04.000000000, 2012-11-05T09:23:55.000000000,0xFF0000, ECLIPSE
2012-11-05T17:44:54.000000000, 2012-11-05T18:22:43.000000000,0xFF0000, ECLIPSE
2012-11-06T02:43:42.000000000, 2012-11-06T03:21:31.000000000,0xFF0000, ECLIPSE
2012-11-06T11:42:31.000000000, 2012-11-06T12:20:19.000000000,0xFF0000, ECLIPSE
2012-11-06T20:41:21.000000000, 2012-11-06T21:19:08.000000000,0xFF0000, ECLIPSE
2012-11-07T05:40:11.000000000, 2012-11-07T06:17:56.000000000,0xFF0000, ECLIPSE
2012-11-07T14:39:00.000000000, 2012-11-07T15:16:44.000000000,0xFF0000, ECLIPSE
2012-11-07T23:37:50.000000000, 2012-11-08T00:15:33.000000000,0xFF0000, ECLIPSE
2012-11-08T08:36:39.000000000, 2012-11-08T09:14:22.000000000,0xFF0000, ECLIPSE
2012-11-08T17:35:28.000000000, 2012-11-08T18:13:10.000000000,0xFF0000, ECLIPSE
2012-11-09T02:34:19.000000000, 2012-11-09T03:11:58.000000000,0xFF0000, ECLIPSE
2012-11-09T11:33:08.000000000, 2012-11-09T12:10:45.000000000,0xFF0000, ECLIPSE
2012-11-09T20:32:00.000000000, 2012-11-09T21:09:33.000000000,0xFF0000, ECLIPSE
2012-11-10T05:30:49.000000000, 2012-11-10T06:08:22.000000000,0xFF0000, ECLIPSE
2012-11-10T14:29:37.000000000, 2012-11-10T15:07:09.000000000,0xFF0000, ECLIPSE
2012-11-10T23:28:29.000000000, 2012-11-11T00:05:57.000000000,0xFF0000, ECLIPSE
2012-11-11T08:27:18.000000000, 2012-11-11T09:04:44.000000000,0xFF0000, ECLIPSE
2012-11-11T17:26:08.000000000, 2012-11-11T18:03:32.000000000,0xFF0000, ECLIPSE
2012-11-12T02:24:58.000000000, 2012-11-12T03:02:18.000000000,0xFF0000, ECLIPSE
2012-11-12T11:23:47.000000000, 2012-11-12T12:01:05.000000000,0xFF0000, ECLIPSE
2012-11-12T20:22:37.000000000, 2012-11-12T20:59:52.000000000,0xFF0000, ECLIPSE
2012-11-13T05:21:29.000000000, 2012-11-13T05:58:39.000000000,0xFF0000, ECLIPSE
2012-11-13T14:20:18.000000000, 2012-11-13T14:57:25.000000000,0xFF0000, ECLIPSE
2012-11-13T23:19:07.000000000, 2012-11-13T23:56:11.000000000,0xFF0000, ECLIPSE
2012-11-14T08:17:57.000000000, 2012-11-14T08:54:57.000000000,0xFF0000, ECLIPSE
2012-11-14T17:16:46.000000000, 2012-11-14T17:53:44.000000000,0xFF0000, ECLIPSE
2012-11-15T02:15:35.000000000, 2012-11-15T02:52:29.000000000,0xFF0000, ECLIPSE
2012-11-15T11:14:26.000000000, 2012-11-15T11:51:14.000000000,0xFF0000, ECLIPSE
2012-11-15T20:13:16.000000000, 2012-11-15T20:50:00.000000000,0xFF0000, ECLIPSE
2012-11-16T05:12:05.000000000, 2012-11-16T05:48:46.000000000,0xFF0000, ECLIPSE
2012-11-16T14:10:57.000000000, 2012-11-16T14:47:31.000000000,0xFF0000, ECLIPSE
2012-11-16T23:09:46.000000000, 2012-11-16T23:46:17.000000000,0xFF0000, ECLIPSE
2012-11-17T08:08:36.000000000, 2012-11-17T08:45:02.000000000,0xFF0000, ECLIPSE
2012-11-17T17:07:29.000000000, 2012-11-17T17:43:47.000000000,0xFF0000, ECLIPSE
2012-11-18T02:06:18.000000000, 2012-11-18T02:42:32.000000000,0xFF0000, ECLIPSE
2012-11-18T11:05:10.000000000, 2012-11-18T11:41:17.000000000,0xFF0000, ECLIPSE
2012-11-18T20:04:02.000000000, 2012-11-18T20:40:02.000000000,0xFF0000, ECLIPSE
2012-11-19T05:02:53.000000000, 2012-11-19T05:38:47.000000000,0xFF0000, ECLIPSE
2012-11-19T14:01:45.000000000, 2012-11-19T14:37:32.000000000,0xFF0000, ECLIPSE
2012-11-19T23:00:35.000000000, 2012-11-19T23:36:10.000000000,0xFF0000, ECLIPSE
2012-11-20T07:59:28.000000000, 2012-11-20T08:35:02.000000000,0xFF0000, ECLIPSE
2012-11-20T16:58:20.000000000, 2012-11-20T17:33:46.000000000,0xFF0000, ECLIPSE
2012-11-21T01:57:10.000000000, 2012-11-21T02:32:31.000000000,0xFF0000, ECLIPSE
2012-11-21T10:56:05.000000000, 2012-11-21T11:31:15.000000000,0xFF0000, ECLIPSE
2012-11-21T19:54:56.000000000, 2012-11-21T20:29:59.000000000,0xFF0000, ECLIPSE
2012-11-22T04:53:49.000000000, 2012-11-22T05:28:43.000000000,0xFF0000, ECLIPSE
2012-11-22T13:52:40.000000000, 2012-11-22T14:27:28.000000000,0xFF0000, ECLIPSE
2012-11-22T22:51:34.000000000, 2012-11-22T23:26:11.000000000,0xFF0000, ECLIPSE
2012-11-23T07:50:25.000000000, 2012-11-23T08:24:54.000000000,0xFF0000, ECLIPSE
2012-11-23T16:49:19.000000000, 2012-11-23T17:23:37.000000000,0xFF0000, ECLIPSE
2012-11-24T01:48:13.000000000, 2012-11-24T02:22:20.000000000,0xFF0000, ECLIPSE
2012-11-24T10:47:04.000000000, 2012-11-24T11:21:05.000000000,0xFF0000, ECLIPSE
2012-11-24T19:45:59.000000000, 2012-11-24T20:19:46.000000000,0xFF0000, ECLIPSE
2012-11-25T04:44:52.000000000, 2012-11-25T05:18:29.000000000,0xFF0000, ECLIPSE
2012-11-25T13:43:44.000000000, 2012-11-25T14:17:12.000000000,0xFF0000, ECLIPSE
2012-11-25T22:42:38.000000000, 2012-11-25T23:15:53.000000000,0xFF0000, ECLIPSE
2012-11-26T07:41:33.000000000, 2012-11-26T08:14:35.000000000,0xFF0000, ECLIPSE
2012-11-26T16:40:27.000000000, 2012-11-26T17:13:16.000000000,0xFF0000, ECLIPSE
2012-11-27T01:39:20.000000000, 2012-11-27T02:11:58.000000000,0xFF0000, ECLIPSE
2012-11-27T10:38:14.000000000, 2012-11-27T11:10:40.000000000,0xFF0000, ECLIPSE
2012-11-27T19:37:07.000000000, 2012-11-27T20:09:20.000000000,0xFF0000, ECLIPSE
2012-11-28T04:36:02.000000000, 2012-11-28T05:08:00.000000000,0xFF0000, ECLIPSE
2012-11-28T13:34:58.000000000, 2012-11-28T14:06:41.000000000,0xFF0000, ECLIPSE
2012-11-28T22:33:52.000000000, 2012-11-28T23:05:22.000000000,0xFF0000, ECLIPSE
2012-11-29T07:32:46.000000000, 2012-11-29T08:04:01.000000000,0xFF0000, ECLIPSE
2012-11-29T16:31:41.000000000, 2012-11-29T17:02:41.000000000,0xFF0000, ECLIPSE
2012-11-30T01:30:38.000000000, 2012-11-30T02:01:19.000000000,0xFF0000, ECLIPSE
2012-11-30T10:29:33.000000000, 2012-11-30T10:59:59.000000000,0xFF0000, ECLIPSE
2012-11-30T19:28:30.000000000, 2012-11-30T19:58:38.000000000,0xFF0000, ECLIPSE
2012-12-01T04:27:25.000000000, 2012-12-01T04:57:17.000000000,0xFF0000, ECLIPSE
2012-12-01T13:26:22.000000000, 2012-12-01T13:55:54.000000000,0xFF0000, ECLIPSE
2012-12-01T22:25:19.000000000, 2012-12-01T22:54:32.000000000,0xFF0000, ECLIPSE
2012-12-02T07:24:16.000000000, 2012-12-02T07:53:11.000000000,0xFF0000, ECLIPSE
2012-12-02T16:23:14.000000000, 2012-12-02T16:51:47.000000000,0xFF0000, ECLIPSE
2012-12-03T01:22:11.000000000, 2012-12-03T01:50:24.000000000,0xFF0000, ECLIPSE
2012-12-03T10:21:10.000000000, 2012-12-03T10:49:02.000000000,0xFF0000, ECLIPSE
2012-12-03T19:20:09.000000000, 2012-12-03T19:47:39.000000000,0xFF0000, ECLIPSE
2012-12-04T04:19:10.000000000, 2012-12-04T04:46:14.000000000,0xFF0000, ECLIPSE
2012-12-04T13:18:07.000000000, 2012-12-04T13:44:52.000000000,0xFF0000, ECLIPSE
2012-12-04T22:17:09.000000000, 2012-12-04T22:43:26.000000000,0xFF0000, ECLIPSE
2012-12-05T07:16:11.000000000, 2012-12-05T07:42:01.000000000,0xFF0000, ECLIPSE
2012-12-05T16:15:12.000000000, 2012-12-05T16:40:37.000000000,0xFF0000, ECLIPSE
2012-12-06T01:14:14.000000000, 2012-12-06T01:39:12.000000000,0xFF0000, ECLIPSE
2012-12-06T10:13:15.000000000, 2012-12-06T10:37:43.000000000,0xFF0000, ECLIPSE
2012-12-06T19:12:20.000000000, 2012-12-06T19:36:18.000000000,0xFF0000, ECLIPSE
2012-12-07T04:11:26.000000000, 2012-12-07T04:34:49.000000000,0xFF0000, ECLIPSE
2012-12-07T13:10:29.000000000, 2012-12-07T13:33:20.000000000,0xFF0000, ECLIPSE
2012-12-07T22:09:33.000000000, 2012-12-07T22:31:52.000000000,0xFF0000, ECLIPSE
2012-12-08T07:08:41.000000000, 2012-12-08T07:30:23.000000000,0xFF0000, ECLIPSE
2012-12-08T16:07:50.000000000, 2012-12-08T16:28:50.000000000,0xFF0000, ECLIPSE
2012-12-09T01:06:58.000000000, 2012-12-09T01:27:18.000000000,0xFF0000, ECLIPSE
2012-12-09T10:06:07.000000000, 2012-12-09T10:25:45.000000000,0xFF0000, ECLIPSE
2012-12-09T19:05:18.000000000, 2012-12-09T19:24:09.000000000,0xFF0000, ECLIPSE
2012-12-10T04:04:30.000000000, 2012-12-10T04:22:34.000000000,0xFF0000, ECLIPSE
2012-12-10T13:03:45.000000000, 2012-12-10T13:20:54.000000000,0xFF0000, ECLIPSE
2012-12-10T22:03:02.000000000, 2012-12-10T22:19:17.000000000,0xFF0000, ECLIPSE
2012-12-11T07:02:18.000000000, 2012-12-11T07:17:34.000000000,0xFF0000, ECLIPSE
2012-12-11T16:01:41.000000000, 2012-12-11T16:15:48.000000000,0xFF0000, ECLIPSE
2012-12-12T01:01:02.000000000, 2012-12-12T01:14:03.000000000,0xFF0000, ECLIPSE
2012-12-12T10:00:36.000000000, 2012-12-12T10:12:08.000000000,0xFF0000, ECLIPSE
2012-12-12T19:00:07.000000000, 2012-12-12T19:10:08.000000000,0xFF0000, ECLIPSE
2012-12-13T03:59:59.000000000, 2012-12-13T04:07:58.000000000,0xFF0000, ECLIPSE
2012-12-13T13:00:11.000000000, 2012-12-13T13:05:14.000000000,0xFF0000, ECLIPSE
2013-03-05T04:37:02.000000000, 2013-03-05T05:06:57.000000000,0xFF0000, ECLIPSE
