Start Time, End Time, Color, Thruster
2017-03-16T18:10:36.000000000, 2017-03-16T20:38:34.000000000,0xFF0000, Thruster
2017-04-06T14:20:10.000000000, 2017-04-06T14:20:12.000000000,0xFF0000, Thruster
2017-04-07T18:30:06.000000000, 2017-04-07T21:19:36.000000000,0xFF0000, Thruster
2017-04-26T19:15:31.000000000, 2017-04-26T22:07:02.000000000,0xFF0000, Thruster
2017-04-26T19:15:31.000000000, 2017-04-26T22:07:02.000000000,0xFF0000, Thruster
2017-04-26T19:15:31.000000000, 2017-04-26T22:07:02.000000000,0xFF0000, Thruster
2017-04-26T19:15:31.000000000, 2017-04-26T22:07:02.000000000,0xFF0000, Thruster
2017-04-26T19:15:31.000000000, 2017-04-26T22:07:02.000000000,0xFF0000, Thruster
2017-04-26T19:15:31.000000000, 2017-04-26T22:07:02.000000000,0xFF0000, Thruster
2017-04-26T19:15:31.000000000, 2017-04-26T22:07:02.000000000,0xFF0000, Thruster
2017-04-26T19:15:31.000000000, 2017-04-26T22:07:02.000000000,0xFF0000, Thruster
2017-05-17T16:15:11.000000000, 2017-05-17T19:16:51.000000000,0xFF0000, Thruster
2017-06-08T17:00:40.000000000, 2017-06-08T20:01:33.000000000,0xFF0000, Thruster
2017-06-29T15:50:07.000000000, 2017-06-29T18:56:18.000000000,0xFF0000, Thruster
2017-07-20T20:20:15.000000000, 2017-07-20T23:26:45.000000000,0xFF0000, Thruster
2017-08-10T17:50:16.000000000, 2017-08-10T20:46:49.000000000,0xFF0000, Thruster
2017-08-31T15:00:06.000000000, 2017-08-31T17:56:28.000000000,0xFF0000, Thruster
2017-09-21T13:00:11.000000000, 2017-09-21T15:40:36.000000000,0xFF0000, Thruster
2017-10-12T13:00:17.000000000, 2017-10-12T15:17:40.000000000,0xFF0000, Thruster
2017-11-02T15:59:47.000000000, 2017-11-02T18:02:34.000000000,0xFF0000, Thruster
2017-11-16T14:45:13.000000000, 2017-11-16T16:10:57.000000000,0xFF0000, Thruster
2017-12-07T19:15:07.000000000, 2017-12-07T21:31:07.000000000,0xFF0000, Thruster
2017-12-21T15:30:03.000000000, 2017-12-21T16:57:53.000000000,0xFF0000, Thruster
2018-01-11T13:30:11.000000000, 2018-01-11T16:01:02.000000000,0xFF0000, Thruster
2018-02-01T18:15:51.000000000, 2018-02-01T20:54:49.000000000,0xFF0000, Thruster
2018-02-22T14:05:11.000000000, 2018-02-22T14:29:52.000000000,0xFF0000, Thruster
2018-03-15T13:30:54.000000000, 2018-03-15T14:09:59.000000000,0xFF0000, Thruster
2018-03-29T14:45:09.000000000, 2018-03-29T17:00:22.000000000,0xFF0000, Thruster
