#Start Time, End Time, Color, Charging Event, Max Charge
2013-06-07T05:49:34.0300, 2013-06-07T05:53:43.4640,0xFF0000, Charging, 5.13848
2013-06-07T05:57:00.9620, 2013-06-07T06:10:07.1390,0xFF0000, Charging, 20.5081
2013-06-10T06:01:24.0480, 2013-06-10T06:07:40.9810,0xFF0000, Charging, 3.37224
2013-06-30T01:59:19.0110, 2013-06-30T02:00:10.9480,0xFF0000, Charging, -1.46868
2013-07-03T08:15:04.0170, 2013-07-03T08:18:00.9520,0xFF0000, Charging, -3.76516
2013-07-03T08:20:39.0120, 2013-07-03T08:29:55.9430,0xFF0000, Charging, -3.73083
2013-07-10T12:46:04.0210, 2013-07-10T12:49:45.9560,0xFF0000, Charging, 1.86160
2013-07-10T12:51:46.3910, 2013-07-10T12:53:30.8280,0xFF0000, Charging, 6.08835
2013-07-15T00:38:14.0320, 2013-07-15T00:38:15.9700,0xFF0000, Charging, -1.12154
2014-03-20T17:16:24.9370, 2014-03-20T17:16:35.8120,0xFF0000, Charging, 1.11009
2014-03-20T17:24:54.7430, 2014-03-20T17:25:59.9930,0xFF0000, Charging, 1.19402
2014-04-28T04:01:29.9560, 2014-04-28T04:02:01.8930,0xFF0000, Charging, 3.97879
2014-04-28T04:05:13.9530, 2014-04-28T04:05:45.8900,0xFF0000, Charging, 4.68452
2014-04-28T04:11:37.9470, 2014-04-28T04:13:45.8210,0xFF0000, Charging, 3.53246
2014-04-28T04:22:49.9380, 2014-04-28T04:57:29.8480,0xFF0000, Charging, 9.53689
2014-04-28T05:01:13.9700, 2014-04-28T07:04:25.8100,0xFF0000, Charging, 9.79629
2014-04-28T07:19:53.9230, 2014-04-28T07:20:25.8600,0xFF0000, Charging, 3.99023
2014-04-28T07:22:33.9210, 2014-04-28T07:23:05.8580,0xFF0000, Charging, 4.53574
2014-04-28T11:56:09.9530, 2014-04-28T11:56:41.8900,0xFF0000, Charging, 6.09979
2014-04-28T12:02:01.9480, 2014-04-28T12:04:41.8210,0xFF0000, Charging, 6.74067
2014-04-28T12:07:15.4440, 2014-04-28T12:10:01.8790,0xFF0000, Charging, 15.8923
2014-04-28T12:12:41.8770, 2014-04-28T12:13:13.9390,0xFF0000, Charging, 43.6828
