MAVEN LPW LP Stub DAC-to-sweep voltage calibration Wed Sep 17 14:15:19 2014
DAC Step	V1	V2
554	36.0869	35.8100
555	36.0628	35.7832
556	36.0388	35.7578
557	36.0148	35.7356
558	35.9908	35.7149
559	35.9668	35.6948
560	35.9428	35.6745
561	35.9188	35.6529
562	35.8948	35.6310
563	35.8708	35.6088
564	35.8469	35.5864
565	35.8230	35.5637
566	35.7991	35.5408
567	35.7752	35.5179
568	35.7513	35.4954
569	35.7273	35.4735
570	35.7032	35.4520
571	35.6791	35.4305
572	35.6550	35.4090
573	35.6309	35.3881
574	35.6067	35.3669
575	35.5826	35.3447
576	35.5585	35.3208
577	35.5344	35.2933
578	35.5104	35.2642
579	35.4865	35.2350
580	35.4625	35.2074
581	35.4386	35.1845
582	35.4147	35.1631
583	35.3908	35.1416
584	35.3669	35.1184
585	35.3429	35.0911
586	35.3189	35.0620
587	35.2948	35.0322
588	35.2708	35.0028
589	35.2468	34.9743
590	35.2229	34.9465
591	35.1989	34.9199
592	35.1749	34.8952
593	35.1508	34.8736
594	35.1266	34.8536
595	35.1023	34.8340
596	35.0781	34.8134
597	35.0539	34.7900
598	35.0298	34.7654
599	35.0056	34.7402
600	34.9814	34.7148
601	34.9571	34.6894
602	34.9329	34.6641
603	34.9086	34.6393
604	34.8844	34.6154
605	34.8603	34.5926
606	34.8363	34.5709
607	34.8123	34.5501
608	34.7883	34.5301
609	34.7642	34.5126
610	34.7400	34.4955
611	34.7159	34.4769
612	34.6917	34.4551
613	34.6676	34.4269
614	34.6434	34.3954
615	34.6193	34.3628
616	34.5952	34.3312
617	34.5711	34.3029
618	34.5470	34.2760
619	34.5229	34.2506
620	34.4988	34.2266
621	34.4746	34.2043
622	34.4503	34.1832
623	34.4261	34.1624
624	34.4019	34.1411
625	34.3778	34.1175
626	34.3537	34.0933
627	34.3297	34.0690
628	34.3057	34.0452
629	34.2818	34.0230
630	34.2578	34.0014
631	34.2338	33.9799
632	34.2095	33.9581
633	34.1850	33.9361
634	34.1602	33.9137
635	34.1353	33.8904
636	34.1102	33.8658
637	34.0850	33.8393
638	34.0597	33.8116
639	34.0345	33.7835
640	34.0095	33.7558
641	33.9849	33.7288
642	33.9605	33.7025
643	33.9363	33.6769
644	33.9122	33.6525
645	33.8880	33.6304
646	33.8638	33.6093
647	33.8397	33.5880
648	33.8155	33.5651
649	33.7913	33.5384
650	33.7670	33.5102
651	33.7428	33.4818
652	33.7185	33.4546
653	33.6942	33.4313
654	33.6700	33.4092
655	33.6457	33.3869
656	33.6214	33.3632
657	33.5970	33.3345
658	33.5727	33.3046
659	33.5484	33.2755
660	33.5241	33.2493
661	33.5000	33.2307
662	33.4760	33.2148
663	33.4520	33.1989
664	33.4279	33.1801
665	33.4037	33.1541
666	33.3795	33.1249
667	33.3552	33.0945
668	33.3310	33.0645
669	33.3068	33.0371
670	33.2826	33.0107
671	33.2585	32.9851
672	33.2343	32.9605
673	33.2101	32.9373
674	33.1859	32.9149
675	33.1617	32.8926
676	33.1375	32.8695
677	33.1134	32.8446
678	33.0893	32.8189
679	33.0652	32.7928
680	33.0411	32.7669
681	33.0169	32.7413
682	32.9927	32.7159
683	32.9684	32.6911
684	32.9442	32.6671
685	32.9200	32.6438
686	32.8958	32.6214
687	32.8716	32.5997
688	32.8474	32.5786
689	32.8233	32.5582
690	32.7992	32.5383
691	32.7751	32.5184
692	32.7510	32.4980
693	32.7269	32.4772
694	32.7029	32.4558
695	32.6788	32.4335
696	32.6547	32.4101
697	32.6305	32.3855
698	32.6063	32.3598
699	32.5820	32.3333
700	32.5578	32.3063
701	32.5336	32.2792
702	32.5095	32.2518
703	32.4853	32.2244
704	32.4611	32.1973
705	32.4369	32.1696
706	32.4126	32.1424
707	32.3884	32.1166
708	32.3642	32.0930
709	32.3401	32.0744
710	32.3159	32.0577
711	32.2918	32.0406
712	32.2677	32.0207
713	32.2436	31.9937
714	32.2194	31.9639
715	32.1952	31.9337
716	32.1710	31.9054
717	32.1467	31.8822
718	32.1224	31.8611
719	32.0981	31.8412
720	32.0737	31.8214
721	32.0493	31.8007
722	32.0249	31.7799
723	32.0005	31.7586
724	31.9761	31.7364
725	31.9518	31.7131
726	31.9276	31.6889
727	31.9033	31.6640
728	31.8790	31.6387
729	31.8545	31.6131
730	31.8299	31.5870
731	31.8053	31.5610
732	31.7808	31.5353
733	31.7566	31.5106
734	31.7325	31.4862
735	31.7084	31.4618
736	31.6843	31.4370
737	31.6600	31.4110
738	31.6356	31.3847
739	31.6111	31.3586
740	31.5867	31.3331
741	31.5623	31.3083
742	31.5380	31.2843
743	31.5137	31.2611
744	31.4894	31.2389
745	31.4652	31.2192
746	31.4410	31.2002
747	31.4167	31.1802
748	31.3924	31.1576
749	31.3679	31.1288
750	31.3433	31.0975
751	31.3188	31.0662
752	31.2943	31.0373
753	31.2700	31.0148
754	31.2457	30.9948
755	31.2215	30.9757
756	31.1973	30.9556
757	31.1732	30.9319
758	31.1490	30.9071
759	31.1248	30.8819
760	31.1003	30.8573
761	31.0756	30.8345
762	31.0506	30.8123
763	31.0254	30.7901
764	31.0001	30.7675
765	30.9746	30.7443
766	30.9489	30.7205
767	30.9234	30.6961
768	30.8981	30.6710
769	30.8734	30.6447
770	30.8489	30.6179
771	30.8246	30.5910
772	30.8004	30.5647
773	30.7760	30.5402
774	30.7517	30.5163
775	30.7274	30.4924
776	30.7030	30.4679
777	30.6786	30.4423
778	30.6542	30.4159
779	30.6298	30.3889
780	30.6054	30.3612
781	30.5810	30.3315
782	30.5566	30.3014
783	30.5322	30.2726
784	30.5078	30.2464
785	30.4834	30.2254
786	30.4589	30.2070
787	30.4345	30.1896
788	30.4101	30.1716
789	30.3858	30.1517
790	30.3615	30.1307
791	30.3372	30.1081
792	30.3129	30.0835
793	30.2885	30.0556
794	30.2642	30.0258
795	30.2398	29.9958
796	30.2155	29.9669
797	30.1912	29.9411
798	30.1670	29.9168
799	30.1428	29.8934
800	30.1185	29.8705
801	30.0942	29.8480
802	30.0698	29.8256
803	30.0454	29.8029
804	30.0211	29.7790
805	29.9968	29.7521
806	29.9726	29.7243
807	29.9484	29.6967
808	29.9241	29.6706
809	29.8998	29.6488
810	29.8755	29.6286
811	29.8511	29.6082
812	29.8268	29.5861
813	29.8025	29.5596
814	29.7782	29.5314
815	29.7540	29.5028
816	29.7298	29.4750
817	29.7056	29.4491
818	29.6815	29.4244
819	29.6573	29.4010
820	29.6332	29.3789
821	29.6090	29.3591
822	29.5848	29.3405
823	29.5606	29.3217
824	29.5364	29.3016
825	29.5122	29.2778
826	29.4880	29.2525
827	29.4638	29.2271
828	29.4395	29.2028
829	29.4152	29.1822
830	29.3909	29.1626
831	29.3666	29.1427
832	29.3423	29.1211
833	29.3180	29.0951
834	29.2938	29.0675
835	29.2695	29.0399
836	29.2453	29.0139
837	29.2211	28.9923
838	29.1968	28.9724
839	29.1726	28.9528
840	29.1484	28.9322
841	29.1243	28.9093
842	29.1001	28.8853
843	29.0760	28.8602
844	29.0518	28.8342
845	29.0275	28.8066
846	29.0032	28.7784
847	28.9788	28.7507
848	28.9544	28.7246
849	28.9299	28.7027
850	28.9054	28.6823
