MAVEN LPW LP Sweep DAC-to-sweep voltage calibration Wed Sep 03 15:19:55 2014
DAC Step	V1	V2
679	33.0980	32.9362
680	33.0739	32.9120
681	33.0497	32.8878
682	33.0255	32.8635
683	33.0013	32.8392
684	32.9771	32.8150
685	32.9528	32.7908
686	32.9286	32.7666
687	32.9043	32.7424
688	32.8801	32.7182
689	32.8559	32.6940
690	32.8318	32.6698
691	32.8077	32.6457
692	32.7836	32.6215
693	32.7595	32.5974
694	32.7354	32.5732
695	32.7113	32.5491
696	32.6872	32.5249
697	32.6630	32.5006
698	32.6387	32.4763
699	32.6145	32.4519
700	32.5902	32.4275
701	32.5660	32.4032
702	32.5419	32.3789
703	32.5177	32.3546
704	32.4935	32.3302
705	32.4692	32.3057
706	32.4449	32.2811
707	32.4206	32.2565
708	32.3963	32.2320
709	32.3721	32.2077
710	32.3480	32.1835
711	32.3239	32.1594
712	32.2998	32.1352
713	32.2756	32.1109
714	32.2514	32.0866
715	32.2272	32.0622
716	32.2030	32.0379
717	32.1788	32.0136
718	32.1545	31.9894
719	32.1302	31.9651
720	32.1059	31.9408
721	32.0815	31.9164
722	32.0569	31.8920
723	32.0324	31.8676
724	32.0080	31.8431
725	31.9837	31.8186
726	31.9595	31.7941
727	31.9352	31.7696
728	31.9109	31.7452
729	31.8863	31.7208
730	31.8617	31.6965
731	31.8371	31.6723
732	31.8126	31.6480
733	31.7883	31.6237
734	31.7642	31.5995
735	31.7400	31.5753
736	31.7158	31.5510
737	31.6914	31.5268
738	31.6670	31.5025
739	31.6425	31.4782
740	31.6181	31.4538
741	31.5937	31.4292
742	31.5693	31.4045
743	31.5450	31.3798
744	31.5207	31.3552
745	31.4965	31.3308
746	31.4723	31.3065
747	31.4480	31.2822
748	31.4237	31.2579
749	31.3992	31.2335
750	31.3746	31.2092
751	31.3499	31.1848
752	31.3254	31.1605
753	31.3010	31.1362
754	31.2767	31.1119
755	31.2525	31.0876
756	31.2283	31.0633
757	31.2042	31.0391
758	31.1801	31.0149
759	31.1559	30.9906
760	31.1315	30.9660
761	31.1067	30.9410
762	31.0817	30.9158
763	31.0565	30.8903
764	31.0311	30.8648
765	31.0056	30.8391
766	30.9799	30.8134
767	30.9544	30.7878
768	30.9291	30.7625
769	30.9043	30.7378
770	30.8798	30.7134
771	30.8554	30.6892
772	30.8311	30.6651
773	30.8067	30.6409
774	30.7823	30.6167
775	30.7579	30.5926
776	30.7335	30.5685
777	30.7091	30.5444
778	30.6848	30.5203
779	30.6604	30.4963
780	30.6360	30.4723
781	30.6115	30.4483
782	30.5871	30.4244
783	30.5626	30.4005
784	30.5381	30.3765
785	30.5136	30.3524
786	30.4892	30.3284
787	30.4647	30.3043
788	30.4403	30.2802
789	30.4159	30.2562
790	30.3916	30.2322
791	30.3673	30.2083
792	30.3430	30.1843
793	30.3186	30.1603
794	30.2942	30.1364
795	30.2698	30.1124
796	30.2455	30.0884
797	30.2212	30.0644
798	30.1970	30.0403
799	30.1728	30.0162
800	30.1485	29.9922
801	30.1242	29.9682
802	30.0998	29.9443
803	30.0754	29.9204
804	30.0511	29.8965
805	30.0268	29.8726
806	30.0025	29.8487
807	29.9783	29.8247
808	29.9540	29.8008
809	29.9297	29.7768
810	29.9055	29.7528
811	29.8812	29.7288
812	29.8569	29.7049
813	29.8326	29.6811
814	29.8083	29.6574
815	29.7840	29.6336
816	29.7597	29.6098
817	29.7354	29.5859
818	29.7112	29.5619
819	29.6869	29.5379
820	29.6627	29.5139
821	29.6385	29.4899
822	29.6142	29.4660
823	29.5900	29.4420
824	29.5658	29.4181
825	29.5416	29.3942
826	29.5174	29.3703
827	29.4932	29.3464
828	29.4689	29.3224
829	29.4445	29.2984
830	29.4202	29.2743
831	29.3958	29.2502
832	29.3714	29.2260
833	29.3471	29.2017
834	29.3228	29.1775
835	29.2986	29.1532
836	29.2744	29.1291
837	29.2502	29.1052
838	29.2261	29.0813
839	29.2019	29.0575
840	29.1777	29.0337
841	29.1535	29.0097
842	29.1293	28.9858
843	29.1050	28.9618
844	29.0807	28.9378
845	29.0564	28.9139
846	29.0321	28.8901
847	29.0077	28.8662
848	28.9833	28.8423
849	28.9589	28.8183
850	28.9344	28.7942
851	28.9099	28.7701
852	28.8855	28.7460
853	28.8611	28.7218
854	28.8368	28.6977
855	28.8124	28.6735
856	28.7880	28.6495
857	28.7634	28.6256
858	28.7389	28.6018
859	28.7143	28.5780
860	28.6898	28.5542
861	28.6655	28.5303
862	28.6413	28.5063
863	28.6171	28.4824
864	28.5929	28.4584
865	28.5685	28.4345
866	28.5441	28.4106
867	28.5196	28.3867
868	28.4952	28.3627
869	28.4708	28.3386
870	28.4465	28.3144
871	28.4221	28.2902
872	28.3978	28.2661
873	28.3735	28.2421
874	28.3493	28.2182
875	28.3250	28.1943
876	28.3007	28.1704
877	28.2762	28.1465
878	28.2516	28.1226
879	28.2271	28.0986
880	28.2026	28.0747
881	28.1783	28.0508
882	28.1540	28.0269
883	28.1297	28.0029
884	28.1055	27.9790
885	28.0813	27.9552
886	28.0572	27.9313
887	28.0329	27.9073
888	28.0084	27.8830
889	27.9837	27.8584
890	27.9588	27.8336
891	27.9336	27.8087
892	27.9084	27.7836
893	27.8829	27.7584
894	27.8573	27.7331
895	27.8318	27.7079
896	27.8066	27.6830
897	27.7820	27.6585
898	27.7577	27.6342
899	27.7337	27.6101
900	27.7097	27.5860
901	27.6856	27.5618
902	27.6615	27.5377
903	27.6374	27.5136
904	27.6133	27.4895
905	27.5892	27.4655
906	27.5650	27.4415
907	27.5409	27.4175
908	27.5167	27.3936
909	27.4925	27.3697
910	27.4683	27.3458
911	27.4441	27.3219
912	27.4199	27.2980
913	27.3957	27.2740
914	27.3715	27.2500
915	27.3473	27.2259
916	27.3232	27.2019
917	27.2991	27.1779
918	27.2751	27.1540
919	27.2510	27.1301
920	27.2270	27.1061
921	27.2029	27.0821
922	27.1788	27.0581
923	27.1547	27.0341
924	27.1306	27.0101
925	27.1065	26.9861
926	27.0825	26.9620
927	27.0584	26.9380
928	27.0343	26.9140
929	27.0102	26.8901
930	26.9860	26.8662
931	26.9619	26.8423
932	26.9378	26.8184
933	26.9138	26.7945
934	26.8898	26.7705
935	26.8659	26.7465
936	26.8419	26.7225
937	26.8179	26.6985
938	26.7938	26.6745
939	26.7698	26.6505
940	26.7457	26.6265
941	26.7216	26.6026
942	26.6975	26.5787
943	26.6734	26.5549
944	26.6493	26.5310
945	26.6253	26.5071
946	26.6013	26.4831
947	26.5774	26.4591
948	26.5535	26.4352
949	26.5296	26.4113
950	26.5057	26.3874
951	26.4818	26.3635
952	26.4578	26.3396
953	26.4338	26.3157
954	26.4098	26.2917
955	26.3857	26.2677
956	26.3616	26.2437
957	26.3375	26.2197
958	26.3134	26.1956
959	26.2892	26.1715
960	26.2651	26.1473
961	26.2410	26.1230
962	26.2168	26.0987
963	26.1927	26.0745
964	26.1687	26.0503
965	26.1447	26.0264
966	26.1208	26.0026
967	26.0969	25.9788
968	26.0730	25.9550
969	26.0490	25.9310
970	26.0250	25.9070
971	26.0010	25.8829
972	25.9769	25.8589
973	25.9528	25.8349
974	25.9287	25.8110
